method,mission,k,g,chart,mode,reset_failed,nominal_feasible,budget_before,budget_after,risk,reserve,horizon_escape,first_escape,state_violation,input_violation,x0,x1,next_x0,next_x1,nominal_x0,nominal_x1,u,stage_cost,state_tightening,input_tightening
calibrate_then_close,0,0,0,0,certified_reset,0,1,0.1,0.09600612548161347,0.003993874518386541,0.08387136488611735,0.0,0.0,0,0,4.592296022029293,0.3965920866945336,4.214336766133331,-1.1521293656149882,4.592296022029293,0.3965920866945336,-1.549999999999568,21.177556604927204,0.08337444497257003,0.42315675162977634
calibrate_then_close,0,1,0,0,certified_reset,0,1,0.09600612548161347,0.09201225096322693,0.003993874518386541,0.07987749036773081,0.0,0.0,0,0,4.214336766133331,-1.1521293656149882,2.312994785029551,-2.6428690405334234,4.214336766133331,-1.1521293656149882,-1.4794477363300087,18.054285892016676,0.08337444497257003,0.42315675162977634
calibrate_then_close,0,2,1,1,certified_reset,0,1,0.09201225096322693,0.0880183764448404,0.003993874518386541,0.07588361584934428,0.0,0.0,0,0,2.312994785029551,-2.6428690405334234,0.44871025762873884,-1.1054990498767832,2.312994785029551,-2.6428690405334234,1.55,6.667263593347709,0.08858515126022476,0.45450561401066725
calibrate_then_close,0,3,1,1,certified_reset,0,1,0.0880183764448404,0.08402450192645386,0.003993874518386541,0.07188974133095774,0.0,0.0,0,0,0.44871025762873884,-1.1054990498767832,-0.0666076877215822,0.07926125828423558,0.44871025762873884,-1.1054990498767832,1.1816945078390606,0.45623400991779883,0.08858515126022476,0.45450561401066725
calibrate_then_close,0,4,1,1,certified_reset,0,1,0.08402450192645386,0.08003062740806732,0.003993874518386541,0.0678958668125712,0.0,0.0,0,0,-0.0666076877215822,0.07926125828423558,-0.016084481322090755,0.018598228489845978,-0.0666076877215822,0.07926125828423558,-0.050434998548006496,0.005630998762243301,0.08858515126022476,0.45450561401066725
calibrate_then_close,0,5,1,1,certified_reset,0,1,0.08003062740806732,0.07603675288968079,0.003993874518386541,0.06390199229418467,0.0,0.0,0,0,-0.016084481322090755,0.018598228489845978,0.011134728037674768,0.023705340614450572,-0.016084481322090755,0.018598228489845978,-0.011379820967676573,0.000324208986064989,0.08858515126022476,0.45450561401066725
calibrate_then_close,0,6,1,1,certified_reset,0,1,0.07603675288968079,0.07204287837129425,0.003993874518386541,0.05990811777579813,0.0,0.0,0,0,0.011134728037674768,0.023705340614450572,0.01686416961256681,-0.04325917270461925,0.011134728037674768,0.023705340614450572,-0.04601077436919871,0.00027805672368079497,0.08858515126022476,0.45450561401066725
calibrate_then_close,0,7,1,1,certified_reset,0,1,0.07204287837129425,0.06804900385290771,0.003993874518386541,0.05591424325741159,0.0,0.0,0,0,0.01686416961256681,-0.04325917270461925,-0.023102963189724445,0.0030953859738722398,0.01686416961256681,-0.04325917270461925,0.046936074132165974,0.0006763191772507799,0.08858515126022476,0.45450561401066725
calibrate_then_close,0,8,0,0,certified_reset,0,1,0.06804900385290771,0.06405512933452118,0.003993874518386541,0.051920368739025044,0.0,0.0,0,0,-0.023102963189724445,0.0030953859738722398,-0.004073781797281325,0.012392312188263038,-0.023102963189724445,0.0030953859738722398,0.01844783060720895,0.0005439796240774737,0.08337444497257003,0.42315675162977634
calibrate_then_close,0,9,0,0,certified_reset,0,1,0.06405512933452118,0.060061254816134634,0.003993874518386541,0.0479264942206385,0.0,0.0,0,0,-0.004073781797281325,0.012392312188263038,0.0024247685904704086,-0.003630771955199833,-0.004073781797281325,0.012392312188263038,-0.01420104470086267,4.9279932143605224e-05,0.08337444497257003,0.42315675162977634
