method,mission,k,g,chart,mode,reset_failed,nominal_feasible,budget_before,budget_after,risk,reserve,horizon_escape,first_escape,state_violation,input_violation,x0,x1,next_x0,next_x1,nominal_x0,nominal_x1,u,stage_cost,state_tightening,input_tightening
reserve_contextual,0,0,0,0,certified_reset,0,1,0.065,0.06102015709353935,0.003979842906460657,0.03751403024020338,0.0,0.0,0,0,-4.124660299816127,0.576413549990675,-2.773754001214117,2.139483967060508,-4.124660299816127,0.576413549990675,1.5499999999994678,17.132690553389534,0.05478918393443362,0.2775638607595769
reserve_contextual,0,1,0,0,certified_reset,0,1,0.06102015709353935,0.057040314187078694,0.003979842906460657,0.035727647847812745,0.0,0.0,0,0,-2.773754001214117,2.139483967060508,-0.8873064473068987,1.6482442519302154,-2.773754001214117,2.139483967060508,-0.4939303072773728,8.523740934118116,0.05478918393443362,0.2775638607595769
reserve_contextual,0,2,0,0,certified_reset,0,1,0.057040314187078694,0.05306047128061804,0.003979842906460657,0.03394126545542211,0.0,0.0,0,0,-0.8873064473068987,1.6482442519302154,-0.02140781556756242,0.10318004003095868,-0.8873064473068987,1.6482442519302154,-1.5444707439345646,1.335955118927914,0.05478918393443362,0.2775638607595769
reserve_contextual,0,3,0,0,certified_reset,0,1,0.05306047128061804,0.04908062837415739,0.003979842906460657,0.03215488306303147,0.0,0.0,0,0,-0.02140781556756242,0.10318004003095868,0.023816134010959233,-0.010564777911950238,-0.02140781556756242,0.10318004003095868,-0.13067627109627825,0.00280150348200771,0.05478918393443362,0.2775638607595769
reserve_contextual,0,4,0,0,certified_reset,0,1,0.04908062837415739,0.04510078546769673,0.003979842906460657,0.03036850067064083,0.0,0.0,0,0,0.023816134010959233,-0.010564777911950238,0.013440026019711986,-0.02669534632990513,0.023816134010959233,-0.010564777911950238,-0.008148854162622213,0.0005889589506512509,0.05478918393443362,0.2775638607595769
reserve_contextual,0,5,0,0,certified_reset,0,1,0.04510078546769673,0.04112094256123608,0.003979842906460657,0.028582118278250194,0.0,0.0,0,0,0.013440026019711986,-0.02669534632990513,-0.001358792503399472,0.008476295689953142,0.013440026019711986,-0.02669534632990513,0.02594310610297682,0.00032573589108853733,0.05478918393443362,0.2775638607595769
reserve_contextual,0,6,0,0,certified_reset,0,1,0.04112094256123608,0.037141099654775425,0.003979842906460657,0.026795735885859557,0.0,0.0,0,0,-0.001358792503399472,0.008476295689953142,0.0013459194066245729,-0.006646087687448287,-0.001358792503399472,0.008476295689953142,-0.01113009299570194,1.7875857271852214e-05,0.05478918393443362,0.2775638607595769
reserve_contextual,0,7,0,0,certified_reset,0,1,0.037141099654775425,0.03316125674831477,0.003979842906460657,0.02500935349346892,0.0,0.0,0,0,0.0013459194066245729,-0.006646087687448287,0.011549922853161478,0.008757494982061007,0.0013459194066245729,-0.006646087687448287,0.0084465774596625,1.1545802497545916e-05,0.05478918393443362,0.2775638607595769
reserve_contextual,0,8,2,4,certified_reset,0,1,0.03316125674831477,0.03008302119660544,0.00307823555170933,0.023222971101078283,0.0,0.0,0,0,0.011549922853161478,0.008757494982061007,-0.02249295632702898,-0.032530041873919655,0.011549922853161478,0.008757494982061007,-0.024404024237115345,0.0001620944971930729,0.061543685631680896,0.3184769410507562
reserve_contextual,0,9,2,4,certified_reset,0,1,0.03008302119660544,0.027004785644896112,0.00307823555170933,0.021436588708687646,0.0,0.0,0,0,-0.02249295632702898,-0.032530041873919655,-0.07229247093744506,-0.004056075205461834,-0.02249295632702898,-0.032530041873919655,0.07031824043867413,0.0008200261101668266,0.061543685631680896,0.3184769410507562
